Id,Abstract,Task 1
D06618,"Replacing a portion of current light duty vehicles (LDV) with plug-in hybrid electric vehicles (PHEVs) offers the possibility to reduce the dependence on petroleum fuels together with environmental and economic benefits.$$$The charging activity of PHEVs will certainly introduce new load to the power grid.$$$In the framework of the development of a smarter grid, the primary focus of the present study is to propose a model for the electrical daily demand in presence of PHEVs charging.$$$Expected PHEV demand is modeled by the PHEV charging time and the starting time of charge according to real world data.$$$A normal distribution for starting time of charge is assumed.$$$Several distributions for charging time are considered: uniform distribution, Gaussian with positive support, Rician distribution and a non-uniform distribution coming from driving patterns in real-world data.$$$We generate daily demand profiles by using real-world residential profiles throughout 2014 in the presence of different expected PHEV demand models.$$$Support vector machines (SVMs), a set of supervised machine learning models, are employed in order to find the best model to fit the data.$$$SVMs with radial basis function (RBF) and polynomial kernels were tested.$$$Model performances are evaluated by means of mean squared error (MSE) and mean absolute percentage error (MAPE).$$$Best results are obtained with RBF kernel: maximum (worst) values for MSE and MAPE were about 2.89 10-8 and 0.023, respectively.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS METHODS METHODS METHODS METHODS RESULTS
D04982,"Image quality assessment (IQA) is traditionally classified into full-reference (FR) IQA and no-reference (NR) IQA according to whether the original image is required.$$$Although NR-IQA is widely used in practical applications, room for improvement still remains because of the lack of the reference image.$$$Inspired by the fact that in many applications, such as parameter selection, a series of distorted images are available, the authors propose a novel comparison-based image quality assessment (C-IQA) method.$$$The new comparison-based framework parallels FR-IQA by requiring two input images, and resembles NR-IQA by not using the original image.$$$As a result, the new comparison-based approach has more application scenarios than FR-IQA does, and takes greater advantage of the accessible information than the traditional single-input NR-IQA does.$$$Further, C-IQA is compared with other state-of-the-art NR-IQA methods on two widely used IQA databases.$$$Experimental results show that C-IQA outperforms the other NR-IQA methods for parameter selection, and the parameter trimming framework combined with C-IQA saves the computation of iterative image reconstruction up to 80%.",BACKGROUND BACKGROUND OBJECTIVES METHODS CONCLUSIONS RESULTS RESULTS
D04529,"This study concerned the active use of Wikipedia as a teaching tool in the classroom in higher education, trying to identify different usage profiles and their characterization.$$$A questionnaire survey was administrated to all full-time and part-time teachers at the Universitat Oberta de Catalunya and the Universitat Pompeu Fabra, both in Barcelona, Spain.$$$The questionnaire was designed using the Technology Acceptance Model as a reference, including items about teachers web 2.0 profile, Wikipedia usage, expertise, perceived usefulness, easiness of use, visibility and quality, as well as Wikipedia status among colleagues and incentives to use it more actively.$$$Clustering and statistical analysis were carried out using the k-medoids algorithm and differences between clusters were assessed by means of contingency tables and generalized linear models (logit).$$$The respondents were classified in four clusters, from less to more likely to adopt and use Wikipedia in the classroom, namely averse (25.4%), reluctant (17.9%), open (29.5%) and proactive (27.2%).$$$Proactive faculty are mostly men teaching part-time in STEM fields, mainly engineering, while averse faculty are mostly women teaching full-time in non-STEM fields.$$$Nevertheless, questionnaire items related to visibility, quality, image, usefulness and expertise determine the main differences between clusters, rather than age, gender or domain.$$$Clusters involving a positive view of Wikipedia and at least some frequency of use clearly outnumber those with a strictly negative stance.$$$This goes against the common view that faculty members are mostly sceptical about Wikipedia.$$$Environmental factors such as academic culture and colleagues opinion are more important than faculty personal characteristics, especially with respect to what they think about Wikipedia quality.",OBJECTIVES METHODS METHODS METHODS RESULTS RESULTS RESULTS RESULTS RESULTS CONCLUSIONS
D02331,"In order to achieve high efficiency of classification in intrusion detection, a compressed model is proposed in this paper which combines horizontal compression with vertical compression.$$$OneR is utilized as horizontal com-pression for attribute reduction, and affinity propagation is employed as vertical compression to select small representative exemplars from large training data.$$$As to be able to computationally compress the larger volume of training data with scalability, MapReduce based parallelization approach is then implemented and evaluated for each step of the model compression process abovementioned, on which common but efficient classification methods can be directly used.$$$Experimental application study on two publicly available datasets of intrusion detection, KDD99 and CMDC2012, demonstrates that the classification using the compressed model proposed can effectively speed up the detection procedure at up to 184 times, most importantly at the cost of a minimal accuracy difference with less than 1% on average.",BACKGROUND/OBJECTIVES/METHODS METHODS OBJECTIVES/METHODS RESULTS/CONCLUSIONS
D03285,"Face anti-spoofing is the crucial step to prevent face recognition systems from a security breach.$$$Previous deep learning approaches formulate face anti-spoofing as a binary classification problem.$$$Many of them struggle to grasp adequate spoofing cues and generalize poorly.$$$In this paper, we argue the importance of auxiliary supervision to guide the learning toward discriminative and generalizable cues.$$$A CNN-RNN model is learned to estimate the face depth with pixel-wise supervision, and to estimate rPPG signals with sequence-wise supervision.$$$Then we fuse the estimated depth and rPPG to distinguish live vs. spoof faces.$$$In addition, we introduce a new face anti-spoofing database that covers a large range of illumination, subject, and pose variations.$$$Experimental results show that our model achieves the state-of-the-art performance on both intra-database and cross-database testing.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS RESULTS
D02194,"One of the key research interests in the area of Constraint Satisfaction Problem (CSP) is to identify tractable classes of constraints and develop efficient solutions for them.$$$In this paper, we introduce generalized staircase (GS) constraints which is an important generalization of one such tractable class found in the literature, namely, staircase constraints.$$$GS constraints are of two kinds, down staircase (DS) and up staircase (US).$$$We first examine several properties of GS constraints, and then show that arc consistency is sufficient to determine a solution to a CSP over DS constraints.$$$Further, we propose an optimal O(cd) time and space algorithm to compute arc consistency for GS constraints where c is the number of constraints and d is the size of the largest domain.$$$Next, observing that arc consistency is not necessary for solving a DSCSP, we propose a more efficient algorithm for solving it.$$$With regard to US constraints, arc consistency is not known to be sufficient to determine a solution, and therefore, methods such as path consistency or variable elimination are required.$$$Since arc consistency acts as a subroutine for these existing methods, replacing it by our optimal O(cd) arc consistency algorithm produces a more efficient method for solving a USCSP.",BACKGROUND BACKGROUND/METHODS BACKGROUND OBJECTIVES/METHODS METHODS METHODS/RESULTS BACKGROUND METHODS/RESULTS
D01642,"Deep learning stands at the forefront in many computer vision tasks.$$$However, deep neural networks are usually data-hungry and require a huge amount of well-annotated training samples.$$$Collecting sufficient annotated data is very expensive in many applications, especially for pixel-level prediction tasks such as semantic segmentation.$$$To solve this fundamental issue, we consider a new challenging vision task, Internetly supervised semantic segmentation, which only uses Internet data with noisy image-level supervision of corresponding query keywords for segmentation model training.$$$We address this task by proposing the following solution.$$$A class-specific attention model unifying multiscale forward and backward convolutional features is proposed to provide initial segmentation ""ground truth"".$$$The model trained with such noisy annotations is then improved by an online fine-tuning procedure.$$$It achieves state-of-the-art performance under the weakly-supervised setting on PASCAL VOC2012 dataset.$$$The proposed framework also paves a new way towards learning from the Internet without human interaction and could serve as a strong baseline therein.$$$Code and data will be released upon the paper acceptance.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS RESULTS CONCLUSIONS OTHERS
D06908,"Deep image translation methods have recently shown excellent results, outputting high-quality images covering multiple modes of the data distribution.$$$There has also been increased interest in disentangling the internal representations learned by deep methods to further improve their performance and achieve a finer control.$$$In this paper, we bridge these two objectives and introduce the concept of cross-domain disentanglement.$$$We aim to separate the internal representation into three parts.$$$The shared part contains information for both domains.$$$The exclusive parts, on the other hand, contain only factors of variation that are particular to each domain.$$$We achieve this through bidirectional image translation based on Generative Adversarial Networks and cross-domain autoencoders, a novel network component.$$$Our model offers multiple advantages.$$$We can output diverse samples covering multiple modes of the distributions of both domains, perform domain-specific image transfer and interpolation, and cross-domain retrieval without the need of labeled data, only paired images.$$$We compare our model to the state-of-the-art in multi-modal image translation and achieve better results for translation on challenging datasets as well as for cross-domain retrieval on realistic datasets.",BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES OBJECTIVES OBJECTIVES METHODS RESULTS RESULTS RESULTS
D01309,"The sharing of network traces is an important prerequisite for the development and evaluation of efficient anomaly detection mechanisms.$$$Unfortunately, privacy concerns and data protection laws prevent network operators from sharing these data.$$$Anonymization is a promising solution in this context; however, it is unclear if the sanitization of data preserves the traffic characteristics or introduces artifacts that may falsify traffic analysis results.$$$In this paper, we examine the utility of anonymized flow traces for anomaly detection.$$$We quantitatively evaluate the impact of IP address anonymization, namely variations of permutation and truncation, on the detectability of large-scale anomalies.$$$Specifically, we analyze three weeks of un-sampled and non-anonymized network traces from a medium-sized backbone network.$$$We find that all anonymization techniques, except prefix-preserving permutation, degrade the utility of data for anomaly detection.$$$We show that the degree of degradation depends to a large extent on the nature and mix of anomalies present in a trace.$$$Moreover, we present a case study that illustrates how traffic characteristics of individual hosts are distorted by anonymization.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS RESULTS RESULTS RESULTS
D03933,"General treebank analyses are graph structured, but parsers are typically restricted to tree structures for efficiency and modeling reasons.$$$We propose a new representation and algorithm for a class of graph structures that is flexible enough to cover almost all treebank structures, while still admitting efficient learning and inference.$$$In particular, we consider directed, acyclic, one-endpoint-crossing graph structures, which cover most long-distance dislocation, shared argumentation, and similar tree-violating linguistic phenomena.$$$We describe how to convert phrase structure parses, including traces, to our new representation in a reversible manner.$$$Our dynamic program uniquely decomposes structures, is sound and complete, and covers 97.3% of the Penn English Treebank.$$$We also implement a proof-of-concept parser that recovers a range of null elements and trace types.",BACKGROUND OBJECTIVES OBJECTIVES OBJECTIVES RESULTS RESULTS
D06549,"We present a novel unsupervised approach for multilingual sentiment analysis driven by compositional syntax-based rules.$$$On the one hand, we exploit some of the main advantages of unsupervised algorithms: (1) the interpretability of their output, in contrast with most supervised models, which behave as a black box and (2) their robustness across different corpora and domains.$$$On the other hand, by introducing the concept of compositional operations and exploiting syntactic information in the form of universal dependencies, we tackle one of their main drawbacks: their rigidity on data that are structured differently depending on the language concerned.$$$Experiments show an improvement both over existing unsupervised methods, and over state-of-the-art supervised models when evaluating outside their corpus of origin.$$$Experiments also show how the same compositional operations can be shared across languages.$$$The system is available at http://www.grupolys.org/software/UUUSA/",OBJECTIVES BACKGROUND METHODS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS OTHERS
D04217,"Defects4J is a large, peer-reviewed, structured dataset of real-world Java bugs.$$$Each bug in Defects4J comes with a test suite and at least one failing test case that triggers the bug.$$$In this paper, we report on an experiment to explore the effectiveness of automatic test-suite based repair on Defects4J.$$$The result of our experiment shows that the considered state-of-the-art repair methods can generate patches for 47 out of 224 bugs.$$$However, those patches are only test-suite adequate, which means that they pass the test suite and may potentially be incorrect beyond the test-suite satisfaction correctness criterion.$$$We have manually analyzed 84 different patches to assess their real correctness.$$$In total, 9 real Java bugs can be correctly repaired with test-suite based repair.$$$This analysis shows that test-suite based repair suffers from under-specified bugs, for which trivial or incorrect patches still pass the test suite.$$$With respect to practical applicability, it takes on average 14.8 minutes to find a patch.$$$The experiment was done on a scientific grid, totaling 17.6 days of computation time.$$$All the repair systems and experimental results are publicly available on Github in order to facilitate future research on automatic repair.",BACKGROUND BACKGROUND OBJECTIVES RESULTS RESULTS METHODS RESULTS CONCLUSIONS OTHERS OTHERS OTHERS
D01112,"Given the great interest in creating keyframe summaries from video, it is surprising how little has been done to formalise their evaluation and comparison.$$$User studies are often carried out to demonstrate that a proposed method generates a more appealing summary than one or two rival methods.$$$But larger comparison studies cannot feasibly use such user surveys.$$$Here we propose a discrimination capacity measure as a formal way to quantify the improvement over the uniform baseline, assuming that one or more ground truth summaries are available.$$$Using the VSUMM video collection, we examine 10 video feature types, including CNN and SURF, and 6 methods for matching frames from two summaries.$$$Our results indicate that a simple frame representation through hue histograms suffices for the purposes of comparing keyframe summaries.$$$We subsequently propose a formal protocol for comparing summaries when ground truth is available.",BACKGROUND BACKGROUND BACKGROUND METHODS METHODS RESULTS/CONCLUSIONS METHODS
D05314,"We give a new algorithm to construct optimal alphabetic ternary trees, where every internal node has at most three children.$$$This algorithm generalizes the classic Hu-Tucker algorithm, though the overall computational complexity has yet to be determined.",OBJECTIVES BACKGROUND
D03274,"Automatic speech recognition can potentially benefit from the lip motion patterns, complementing acoustic speech to improve the overall recognition performance, particularly in noise.$$$In this paper we propose an audio-visual fusion strategy that goes beyond simple feature concatenation and learns to automatically align the two modalities, leading to enhanced representations which increase the recognition accuracy in both clean and noisy conditions.$$$We test our strategy on the TCD-TIMIT and LRS2 datasets, designed for large vocabulary continuous speech recognition, applying three types of noise at different power ratios.$$$We also exploit state of the art Sequence-to-Sequence architectures, showing that our method can be easily integrated.$$$Results show relative improvements from 7% up to 30% on TCD-TIMIT over the acoustic modality alone, depending on the acoustic noise level.$$$We anticipate that the fusion strategy can easily generalise to many other multimodal tasks which involve correlated modalities.$$$Code available online on GitHub: https://github.com/georgesterpu/Sigmedia-AVSR",BACKGROUND OBJECTIVES METHODS METHODS RESULTS CONCLUSIONS OTHERS
D02511,"Automatically determining the optimal size of a neural network for a given task without prior information currently requires an expensive global search and training many networks from scratch.$$$In this paper, we address the problem of automatically finding a good network size during a single training cycle.$$$We introduce *nonparametric neural networks*, a non-probabilistic framework for conducting optimization over all possible network sizes and prove its soundness when network growth is limited via an L_p penalty.$$$We train networks under this framework by continuously adding new units while eliminating redundant units via an L_2 penalty.$$$We employ a novel optimization algorithm, which we term *adaptive radial-angular gradient descent* or *AdaRad*, and obtain promising results.",BACKGROUND OBJECTIVES METHODS METHODS METHODS
D01841,"The numerical size of academic publications that are being published in recent years had grown rapidly.$$$Accessing and searching massive academic publications that are distributed over several locations need large amount of computing resources to increase the system performance.$$$Therefore, many grid-based search techniques were proposed to provide flexible methods for searching the distributed extensive data.$$$This paper proposes search technique that is capable of searching the extensive publications by utilizing grid computing technology.$$$The search technique is implemented as interconnected grid services to offer a mechanism to access different data locations.$$$The experimental result shows that the grid-based search technique has enhanced the performance of the search.",BACKGROUND BACKGROUND OTHERS OBJECTIVES METHODS RESULTS
D04034,"This paper explores the problem of page migration in ring networks.$$$A ring network is a connected graph, in which each node is connected with exactly two other nodes.$$$In this problem, one of the nodes in a given network holds a page of size D. This node is called the server and the page is a non-duplicable data in the network.$$$Requests are issued by nodes to access the page one after another.$$$Every time a new request is issued, the server must serve the request and may migrate to another node before the next request arrives.$$$A service costs the distance between the server and the requesting node, and the migration costs the distance of the migration multiplied by D. The problem is to minimize the total costs of services and migrations.$$$We study this problem in uniform model, for which the page has a unit size, i.e.$$$D=1.$$$A 3.326-competitive algorithm improving the current best upper bound is designed.$$$We show that this ratio is tight for our algorithm.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES OBJECTIVES RESULTS CONCLUSIONS
D01082,"This paper presents a new connection between the generalized Marcum-Q function and the confluent hypergeometric function of two variables, phi3.$$$This result is then applied to the closed-form characterization of the bivariate Nakagami-m distribution and of the distribution of the minimum eigenvalue of correlated non-central Wishart matrices, both important in communication theory.$$$New expressions for the corresponding cumulative distributions are obtained and a number of communication-theoretic problems involving them are pointed out.",RESULTS RESULTS RESULTS
D00929,"We use the method of Maximum (relative) Entropy to process information in the form of observed data and moment constraints.$$$The generic ""canonical"" form of the posterior distribution for the problem of simultaneous updating with data and moments is obtained.$$$We discuss the general problem of non-commuting constraints, when they should be processed sequentially and when simultaneously.$$$As an illustration, the multinomial example of die tosses is solved in detail for two superficially similar but actually very different problems.",OBJECTIVES CONCLUSIONS OBJECTIVES RESULTS
D06499,"The Moral Foundations Dictionary (MFD) is a useful tool for applying the conceptual framework developed in Moral Foundations Theory and quantifying the moral meanings implicated in the linguistic information people convey.$$$However, the applicability of the MFD is limited because it is available only in English.$$$Translated versions of the MFD are therefore needed to study morality across various cultures, including non-Western cultures.$$$The contribution of this paper is two-fold.$$$We developed the first Japanese version of the MFD (referred to as the J-MFD) by introducing a semi-automated method---this serves as a reference when translating the MFD into other languages.$$$We next tested the validity of the J-MFD by analyzing open-ended written texts about the situations that Japanese participants thought followed and violated the five moral foundations.$$$We found that the J-MFD correctly categorized the Japanese participants' descriptions into the corresponding moral foundations, and that the Moral Foundations Questionnaire (MFQ) scores were correlated with the frequency of situations, of total words, and of J-MFD words in the participants' descriptions for the Harm and Fairness foundations.$$$The J-MFD can be used to study morality unique to the Japanese and cultural differences in moral behavior.",BACKGROUND BACKGROUND OBJECTIVES OTHERS METHODS METHODS RESULTS CONCLUSIONS
D05261,"Over the past decade, the study of extrasolar planets has evolved rapidly from plain detection and identification to comprehensive categorization and characterization of exoplanet systems and their atmospheres.$$$Atmospheric retrieval, the inverse modeling technique used to determine an exoplanetary atmosphere's temperature structure and composition from an observed spectrum, is both time-consuming and compute-intensive, requiring complex algorithms that compare thousands to millions of atmospheric models to the observational data to find the most probable values and associated uncertainties for each model parameter.$$$For rocky, terrestrial planets, the retrieved atmospheric composition can give insight into the surface fluxes of gaseous species necessary to maintain the stability of that atmosphere, which may in turn provide insight into the geological and/or biological processes active on the planet.$$$These atmospheres contain many molecules, some of them biosignatures, spectral fingerprints indicative of biological activity, which will become observable with the next generation of telescopes.$$$Runtimes of traditional retrieval models scale with the number of model parameters, so as more molecular species are considered, runtimes can become prohibitively long.$$$Recent advances in machine learning (ML) and computer vision offer new ways to reduce the time to perform a retrieval by orders of magnitude, given a sufficient data set to train with.$$$Here we present an ML-based retrieval framework called Intelligent exoplaNet Atmospheric RetrievAl (INARA) that consists of a Bayesian deep learning model for retrieval and a data set of 3,000,000 synthetic rocky exoplanetary spectra generated using the NASA Planetary Spectrum Generator.$$$Our work represents the first ML retrieval model for rocky, terrestrial exoplanets and the first synthetic data set of terrestrial spectra generated at this scale.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND METHODS/RESULTS CONCLUSIONS
D05644,"Scientific Computing typically requires large computational needs which have been addressed with High Performance Distributed Computing.$$$It is essential to efficiently deploy a number of complex scientific applications, which have different characteristics, and so require distinct computational resources too.$$$However, in many research laboratories, this high performance architecture is not dedicated.$$$So, the architecture must be shared to execute a set of scientific applications, with so many different execution times and relative importance to research.$$$Also, the high performance architectures have different characteristics and costs.$$$When a new infrastructure has to be acquired to meet the needs of this scenario, the decision-making is hard and complex.$$$In this work, we present a Gain Function as a model of an utility function, with which it is possible a decision-making with confidence.$$$With the function is possible to evaluate the best architectural option taking into account aspects of applications and architectures, including the executions time, cost of architecture, the relative importance of each application and also the relative importance of performance and cost on the final evaluation.$$$This paper presents the Gain Function, examples, and a real case showing their applicabilities.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES RESULTS RESULTS
D01099,"We initiate the study of quantum races, games where two or more quantum computers compete to solve a computational problem.$$$While the problem of dueling algorithms has been studied for classical deterministic algorithms, the quantum case presents additional sources of uncertainty for the players.$$$The foremost among these is that players do not know if they have solved the problem until they measure their quantum state.$$$This question of `when to measure?' presents a very interesting strategic problem.$$$We develop a game-theoretic model of a multiplayer quantum race, and find an approximate Nash equilibrium where all players play the same strategy.$$$In the two-party case, we further show that this strategy is nearly optimal in terms of payoff among all symmetric Nash equilibria.$$$A key role in our analysis of quantum races is played by a more tractable version of the game where there is no payout on a tie; for such races we completely characterize the Nash equilibria in the two-party case.$$$One application of our results is to the stability of the Bitcoin protocol when mining is done by quantum computers.$$$Bitcoin mining is a race to solve a computational search problem, with the winner gaining the right to create a new block.$$$Our results inform the strategies that eventual quantum miners should use, and also indicate that the collision probability---the probability that two miners find a new block at the same time---would not be too high in the case of quantum miners.$$$Such collisions are undesirable as they lead to forking of the Bitcoin blockchain.",OTHERS OTHERS OTHERS OBJECTIVES METHODS RESULTS RESULTS CONCLUSIONS BACKGROUND CONCLUSIONS OTHERS
D02912,"Understanding the loss surface of neural networks is essential for the design of models with predictable performance and their success in applications.$$$Experimental results suggest that sufficiently deep and wide neural networks are not negatively impacted by suboptimal local minima.$$$Despite recent progress, the reason for this outcome is not fully understood.$$$Could deep networks have very few, if at all, suboptimal local optima? or could all of them be equally good?$$$We provide a construction to show that suboptimal local minima (i.e. non-global ones), even though degenerate, exist for fully connected neural networks with sigmoid activation functions.$$$The local minima obtained by our proposed construction belong to a connected set of local solutions that can be escaped from via a non-increasing path on the loss curve.$$$For extremely wide neural networks with two hidden layers, we prove that every suboptimal local minimum belongs to such a connected set.$$$This provides a partial explanation for the successful application of deep neural networks.$$$In addition, we also characterize under what conditions the same construction leads to saddle points instead of local minima for deep neural networks.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS/RESULTS RESULTS RESULTS CONCLUSIONS RESULTS
D06988,"The effects of molecularly targeted drug perturbations on cellular activities and fates are difficult to predict using intuition alone because of the complex behaviors of cellular regulatory networks.$$$An approach to overcoming this problem is to develop mathematical models for predicting drug effects.$$$Such an approach beckons for co-development of computational methods for extracting insights useful for guiding therapy selection and optimizing drug scheduling.$$$Here, we present and evaluate a generalizable strategy for identifying drug dosing schedules that minimize the amount of drug needed to achieve sustained suppression or elevation of an important cellular activity/process, the recycling of cytoplasmic contents through (macro)autophagy.$$$Therapeutic targeting of autophagy is currently being evaluated in diverse clinical trials but without the benefit of a control engineering perspective.$$$Using a nonlinear ordinary differential equation (ODE) model that accounts for activating and inhibiting influences among protein and lipid kinases that regulate autophagy (MTORC1, ULK1, AMPK and VPS34) and methods guaranteed to find locally optimal control strategies, we find optimal drug dosing schedules (open-loop controllers) for each of six classes of drugs and drug pairs.$$$Our approach is generalizable to designing monotherapy and multi therapy drug schedules that affect different cell signaling networks of interest.",BACKGROUND BACKGROUND/RESULTS/CONCLUSIONS BACKGROUND/OBJECTIVES/METHODS/RESULTS/CONCLUSIONS BACKGROUND/OBJECTIVES/METHODS/RESULTS/CONCLUSIONS BACKGROUND METHODS/RESULTS METHODS/CONCLUSIONS
D02964,"A subspace projection to improve channel estimation in massive multi-antenna systems is proposed and analyzed.$$$Together with power-controlled hand-off, it can mitigate the pilot contamination problem without the need for coordination among cells.$$$The proposed method is blind in the sense that it does not require pilot data to find the appropriate subspace.$$$It is based on the theory of large random matrices that predicts that the eigenvalue spectra of large sample covariance matrices can asymptotically decompose into disjoint bulks as the matrix size grows large.$$$Random matrix and free probability theory are utilized to predict under which system parameters such a bulk decomposition takes place.$$$Simulation results are provided to confirm that the proposed method outperforms conventional linear channel estimation if bulk separation occurs.",OBJECTIVES RESULTS METHODS METHODS METHODS RESULTS
D04101,"This paper proposes an evolutionary Particle Filter with a memory guided proposal step size update and an improved, fully-connected Quantum-behaved Particle Swarm Optimization (QPSO) resampling scheme for visual tracking applications.$$$The proposal update step uses importance weights proportional to velocities encountered in recent memory to limit the swarm movement within probable regions of interest.$$$The QPSO resampling scheme uses a fitness weighted mean best update to bias the swarm towards the fittest section of particles while also employing a simulated annealing operator to avoid subpar fine tune during latter course of iterations.$$$By moving particles closer to high likelihood landscapes of the posterior distribution using such constructs, the sample impoverishment problem that plagues the Particle Filter is mitigated to a great extent.$$$Experimental results using benchmark sequences imply that the proposed method outperforms competitive candidate trackers such as the Particle Filter and the traditional Particle Swarm Optimization based Particle Filter on a suite of tracker performance indices.",BACKGROUND/OBJECTIVES METHODS METHODS METHODS RESULTS/CONCLUSIONS
D06684,"Microbiology research has access to a very large amount of public information on the habitats of microorganisms.$$$Many areas of microbiology research uses this information, primarily in biodiversity studies.$$$However the habitat information is expressed in unstructured natural language form, which hinders its exploitation at large-scale.$$$It is very common for similar habitats to be described by different terms, which makes them hard to compare automatically, e.g. intestine and gut.$$$The use of a common reference to standardize these habitat descriptions as claimed by (Ivana et al., 2010) is a necessity.$$$We propose the ontology called OntoBiotope that we have been developing since 2010.$$$The OntoBiotope ontology is in a formal machine-readable representation that enables indexing of information as well as conceptualization and reasoning.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND/OBJECTIVES METHODS METHODS/RESULTS RESULTS/CONCLUSIONS
D02197,"A team of robots sharing a common goal can benefit from coordination of the activities of team members, helping the team to reach the goal more reliably or quickly.$$$We address the problem of coordinating the actions of a team of robots with periodic communication capability executing an information gathering task.$$$We cast the problem as a multi-agent optimal decision-making problem with an information theoretic objective function.$$$We show that appropriate techniques for solving decentralized partially observable Markov decision processes (Dec-POMDPs) are applicable in such information gathering problems.$$$We quantify the usefulness of coordinated information gathering through simulation studies, and demonstrate the feasibility of the method in a real-world target tracking domain.",BACKGROUND BACKGROUND/OBJECTIVES METHODS RESULTS/CONCLUSIONS RESULTS
D00856,"Contemporary electricity distribution systems are being challenged by the variability of renewable energy sources.$$$Slow response times and long energy management periods cannot efficiently integrate intermittent renewable generation and demand.$$$Yet stochasticity can be judiciously coupled with system flexibilities to enhance grid operation efficiency.$$$Voltage magnitudes for instance can transiently exceed regulation limits, while smart inverters can be overloaded over short time intervals.$$$To implement such a mode of operation, an ergodic energy management framework is developed here.$$$Considering a distribution grid with distributed energy sources and a feed-in tariff program, active power curtailment and reactive power compensation are formulated as a stochastic optimization problem.$$$Tighter operational constraints are enforced in an average sense, while looser margins are enforced to be satisfied at all times.$$$Stochastic dual subgradient solvers are developed based on exact and approximate grid models of varying complexity.$$$Numerical tests on a real-world 56-bus distribution grid and the IEEE 123-bus test feeder relying on both grid models corroborate the advantages of the novel schemes over their deterministic alternatives.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES/METHODS METHODS/RESULTS METHODS METHODS RESULTS/CONCLUSIONS
D01043,"This paper addresses the problem of localizing an unknown number of targets, all having the same radar signature, by a distributed MIMO radar consisting of single antenna transmitters and receivers that cannot determine directions of departure and arrival.$$$Furthermore, we consider the presence of multipath propagation, and the possible (correlated) blocking of the direct paths (going from the transmitter and reflecting off a target to the receiver).$$$In its most general form, this problem can be cast as a Bayesian estimation problem where every multipath component is accounted for.$$$However, when the environment map is unknown, this problem is ill-posed and hence, a tractable approximation is derived where only direct paths are accounted for.$$$In particular, we take into account the correlated blocking by scatterers in the environment which appears as a prior term in the Bayesian estimation framework.$$$A sub-optimal polynomial-time algorithm to solve the Bayesian multi-target localization problem with correlated blocking is proposed and its performance is evaluated using simulations.$$$We found that when correlated blocking is severe, assuming the blocking events to be independent and having constant probability (as was done in previous papers) resulted in poor detection performance, with false alarms more likely to occur than detections.",BACKGROUND/OBJECTIVES OBJECTIVES METHODS METHODS METHODS RESULTS RESULTS/CONCLUSIONS
D02614,"Quantum information brings together theories of physics and computer science.$$$This synthesis challenges the basic intuitions of both fields.$$$In this thesis, we show that adopting a unified and general language for process theories advances foundations and practical applications of quantum information.$$$Our first set of results analyze quantum algorithms with a process theoretic structure.$$$We contribute new constructions of the Fourier transform and Pontryagin duality in dagger symmetric monoidal categories.$$$We then use this setting to study generalized unitary oracles and give a new quantum blackbox algorithm for the identification of group homomorphisms, solving the GROUPHOMID problem.$$$In the remaining section, we construct a novel model of quantum blackbox algorithms in non-deterministic classical computation.$$$Our second set of results concerns quantum foundations.$$$We complete work begun by Coecke et al., definitively connecting the Mermin non-locality of a process theory with a simple algebraic condition on that theory's phase groups.$$$This result allows us to offer new experimental tests for Mermin non-locality and new protocols for quantum secret sharing.$$$In our final chapter, we exploit the shared process theoretic structure of quantum information and distributional compositional linguistics.$$$We propose a quantum algorithm adapted from Weibe et al. to classify sentences by meaning.$$$The clarity of the process theoretic setting allows us to recover a speedup that is lost in the naive application of the algorithm.$$$The main mathematical tools used in this thesis are group theory (esp.$$$Fourier theory on finite groups), monoidal category theory, and categorical algebra.",BACKGROUND BACKGROUND OBJECTIVES RESULTS RESULTS RESULTS RESULTS RESULTS RESULTS RESULTS RESULTS RESULTS RESULTS BACKGROUND BACKGROUND
D00068,"Distribution regression has recently attracted much interest as a generic solution to the problem of supervised learning where labels are available at the group level, rather than at the individual level.$$$Current approaches, however, do not propagate the uncertainty in observations due to sampling variability in the groups.$$$This effectively assumes that small and large groups are estimated equally well, and should have equal weight in the final regression.$$$We account for this uncertainty with a Bayesian distribution regression formalism, improving the robustness and performance of the model when group sizes vary.$$$We frame our models in a neural network style, allowing for simple MAP inference using backpropagation to learn the parameters, as well as MCMC-based inference which can fully propagate uncertainty.$$$We demonstrate our approach on illustrative toy datasets, as well as on a challenging problem of predicting age from images.",BACKGROUND OBJECTIVES BACKGROUND METHODS METHODS RESULTS
